지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),적설(cm),지면온도(°C),년,월,일,시
서울,2022-01-04 03:00,-1.6,0.0,2.0,78,1015.6,0.0,-2.4,2022,01,04,03
서울,2022-01-04 04:00,-2.2,0.0,2.5,76,1015.8,0.0,-3.0,2022,01,04,04
서울,2022-01-04 05:00,-2.9,0.0,3.3,74,1015.9,0.0,-3.6,2022,01,04,05
서울,2022-01-04 06:00,-3.6,0.0,2.6,73,1016.8,0.0,-4.2,2022,01,04,06
서울,2022-01-04 07:00,-4.0,0.0,2.5,76,1017.6,0.0,-4.6,2022,01,04,07
서울,2022-01-04 08:00,-4.6,0.0,1.9,75,1017.7,0.0,-4.8,2022,01,04,08
서울,2022-01-04 09:00,-4.3,0.0,3.8,73,1018.1,0.0,-4.2,2022,01,04,09
서울,2022-01-04 10:00,-3.5,0.0,2.8,66,1018.3,0.0,-1.6,2022,01,04,10
서울,2022-01-04 11:00,-1.9,0.0,3.2,55,1018.1,0.0,0.0,2022,01,04,11
서울,2022-01-04 12:00,-0.6,0.0,2.5,45,1017.5,0.0,4.3,2022,01,04,12
서울,2022-01-04 13:00,-0.5,0.0,2.9,43,1016.9,0.0,6.9,2022,01,04,13
서울,2022-01-04 14:00,0.0,0.0,3.6,37,1016.5,0.0,6.2,2022,01,04,14
서울,2022-01-04 15:00,0.9,0.0,3.5,32,1016.5,0.0,2.9,2022,01,04,15
서울,2022-01-04 16:00,0.7,0.0,3.0,29,1016.9,0.0,0.0,2022,01,04,16
서울,2022-01-04 17:00,-0.4,0.0,2.8,29,1017.1,0.0,-0.5,2022,01,04,17
서울,2022-01-04 18:00,-1.7,0.0,2.2,31,1017.3,0.0,-1.5,2022,01,04,18
서울,2022-01-04 19:00,-2.6,0.0,0.7,35,1017.5,0.0,-2.5,2022,01,04,19
서울,2022-01-04 20:00,-2.5,0.0,2.5,34,1017.7,0.0,-3.0,2022,01,04,20
서울,2022-01-04 21:00,-3.5,0.0,0.8,37,1017.9,0.0,-3.7,2022,01,04,21
서울,2022-01-04 22:00,-4.4,0.0,1.0,41,1017.7,0.0,-4.5,2022,01,04,22
서울,2022-01-04 23:00,-5.1,0.0,1.5,42,1018.0,0.0,-5.2,2022,01,04,23
서울,2022-01-05 00:00,-5.6,0.0,1.3,45,1018.5,0.0,-5.7,2022,01,05,00
서울,2022-01-05 01:00,-6.0,0.0,1.3,48,1018.1,0.0,-6.1,2022,01,05,01
서울,2022-01-05 02:00,-6.6,0.0,2.2,49,1018.2,0.0,-6.2,2022,01,05,02
서울,2022-01-05 03:00,-7.0,0.0,1.0,52,1018.5,0.0,-6.7,2022,01,05,03
서울,2022-01-05 04:00,-7.2,0.0,1.9,52,1018.0,0.0,-6.8,2022,01,05,04
서울,2022-01-05 05:00,-7.3,0.0,1.8,54,1017.8,0.0,-6.7,2022,01,05,05
서울,2022-01-05 06:00,-7.6,0.0,2.4,55,1018.1,0.0,-6.9,2022,01,05,06
서울,2022-01-05 07:00,-7.7,0.0,2.3,57,1017.9,0.0,-6.7,2022,01,05,07
서울,2022-01-05 08:00,-7.5,0.0,2.6,58,1018.2,0.0,-6.2,2022,01,05,08
서울,2022-01-05 09:00,-6.4,0.0,0.9,56,1018.0,0.0,-4.5,2022,01,05,09
서울,2022-01-05 10:00,-4.4,0.0,1.3,50,1018.3,0.0,-2.5,2022,01,05,10
서울,2022-01-05 11:00,-2.4,0.0,1.5,46,1018.3,0.0,-0.3,2022,01,05,11
서울,2022-01-05 12:00,-0.6,0.0,2.3,41,1017.4,0.0,1.0,2022,01,05,12
서울,2022-01-05 13:00,0.5,0.0,2.0,37,1016.1,0.0,1.5,2022,01,05,13
서울,2022-01-05 14:00,1.3,0.0,2.3,35,1015.7,0.0,2.8,2022,01,05,14
서울,2022-01-05 15:00,1.7,0.0,1.5,36,1015.4,0.0,1.7,2022,01,05,15
서울,2022-01-05 16:00,1.8,0.0,1.3,36,1015.1,0.0,0.5,2022,01,05,16
서울,2022-01-05 17:00,1.4,0.0,1.2,38,1015.6,0.0,-0.1,2022,01,05,17
서울,2022-01-05 18:00,0.7,0.0,2.0,42,1015.7,0.0,-0.3,2022,01,05,18
서울,2022-01-05 19:00,0.1,0.0,1.3,42,1016.0,0.0,-0.7,2022,01,05,19
서울,2022-01-05 20:00,-0.6,0.0,1.6,44,1016.0,0.0,-1.2,2022,01,05,20
서울,2022-01-05 21:00,-1.0,0.0,2.0,46,1016.3,0.0,-1.8,2022,01,05,21
서울,2022-01-05 22:00,-1.3,0.0,2.2,46,1016.6,0.0,-2.6,2022,01,05,22
서울,2022-01-05 23:00,-1.9,0.0,1.2,48,1016.4,0.0,-3.1,2022,01,05,23
서울,2022-01-06 00:00,-2.5,0.0,1.7,53,1016.1,0.0,-3.6,2022,01,06,00
서울,2022-01-06 01:00,-3.1,0.0,1.5,53,1015.9,0.0,-4.3,2022,01,06,01
서울,2022-01-06 02:00,-3.7,0.0,0.9,55,1015.7,0.0,-4.8,2022,01,06,02
서울,2022-01-06 03:00,-4.5,0.0,1.6,59,1016.3,0.0,-5.3,2022,01,06,03
서울,2022-01-06 04:00,-4.8,0.0,2.1,62,1016.3,0.0,-5.4,2022,01,06,04
서울,2022-01-06 05:00,-4.6,0.0,2.8,62,1016.3,0.0,-5.4,2022,01,06,05
서울,2022-01-06 06:00,-5.4,0.0,2.2,60,1016.8,0.0,-5.7,2022,01,06,06
서울,2022-01-06 07:00,-5.5,0.0,1.5,60,1017.6,0.0,-5.9,2022,01,06,07
서울,2022-01-06 08:00,-5.9,0.0,2.5,62,1018.1,0.0,-6.0,2022,01,06,08
서울,2022-01-06 09:00,-5.1,0.0,2.3,62,1018.6,0.0,-5.0,2022,01,06,09
서울,2022-01-06 10:00,-3.0,0.0,2.0,53,1019.2,0.0,-1.7,2022,01,06,10
서울,2022-01-06 11:00,-1.1,0.0,2.7,41,1019.1,0.0,1.0,2022,01,06,11
서울,2022-01-06 12:00,0.3,0.0,3.4,35,1018.3,0.0,5.6,2022,01,06,12
서울,2022-01-06 13:00,1.7,0.0,4.2,33,1017.4,0.0,7.3,2022,01,06,13
서울,2022-01-06 14:00,2.8,0.0,4.2,31,1017.1,0.0,6.7,2022,01,06,14
서울,2022-01-06 15:00,2.8,0.0,2.6,31,1016.9,0.0,4.1,2022,01,06,15
서울,2022-01-06 16:00,3.1,0.0,1.6,31,1017.0,0.0,0.4,2022,01,06,16
서울,2022-01-06 17:00,2.0,0.0,2.2,33,1017.5,0.0,-0.4,2022,01,06,17
서울,2022-01-06 18:00,0.7,0.0,2.2,35,1018.1,0.0,-1.2,2022,01,06,18
서울,2022-01-06 19:00,0.0,0.0,3.2,37,1018.7,0.0,-1.8,2022,01,06,19
서울,2022-01-06 20:00,-1.2,0.0,1.8,41,1018.9,0.0,-2.5,2022,01,06,20
서울,2022-01-06 21:00,-1.9,0.0,1.8,43,1019.2,0.0,-2.9,2022,01,06,21
서울,2022-01-06 22:00,-2.7,0.0,1.7,47,1019.5,0.0,-3.6,2022,01,06,22
서울,2022-01-06 23:00,-3.4,0.0,1.6,50,1019.6,0.0,-4.1,2022,01,06,23
서울,2022-01-07 00:00,-4.2,0.0,1.3,52,1019.6,0.0,-4.8,2022,01,07,00
서울,2022-01-07 01:00,-4.5,0.0,0.9,54,1019.6,0.0,-5.3,2022,01,07,01
서울,2022-01-07 02:00,-4.8,0.0,1.1,57,1019.8,0.0,-5.7,2022,01,07,02
서울,2022-01-07 03:00,-5.0,0.0,1.2,56,1020.0,0.0,-5.9,2022,01,07,03
서울,2022-01-07 04:00,-5.3,0.0,0.6,58,1019.9,0.0,-6.1,2022,01,07,04
서울,2022-01-07 05:00,-5.4,0.0,1.4,57,1019.9,0.0,-6.3,2022,01,07,05
서울,2022-01-07 06:00,-5.7,0.0,1.6,59,1020.0,0.0,-6.5,2022,01,07,06
서울,2022-01-07 07:00,-5.8,0.0,1.3,62,1020.3,0.0,-6.7,2022,01,07,07
서울,2022-01-07 08:00,-5.8,0.0,1.3,64,1020.4,0.0,-6.7,2022,01,07,08
서울,2022-01-07 09:00,-5.3,0.0,1.5,63,1020.7,0.0,-5.6,2022,01,07,09
서울,2022-01-07 10:00,-3.0,0.0,1.1,59,1020.8,0.0,-1.8,2022,01,07,10
서울,2022-01-07 11:00,0.3,0.0,0.8,48,1020.4,0.0,1.2,2022,01,07,11
서울,2022-01-07 12:00,1.9,0.0,2.4,37,1019.4,0.0,5.2,2022,01,07,12
서울,2022-01-07 13:00,2.5,0.0,1.7,32,1018.7,0.0,8.1,2022,01,07,13
서울,2022-01-07 14:00,3.7,0.0,2.4,24,1018.1,0.0,7.9,2022,01,07,14
서울,2022-01-07 15:00,4.2,0.0,2.1,24,1017.7,0.0,4.9,2022,01,07,15
서울,2022-01-07 16:00,4.4,0.0,2.4,21,1017.6,0.0,0.6,2022,01,07,16
서울,2022-01-07 17:00,2.8,0.0,2.3,25,1017.5,0.0,-0.3,2022,01,07,17
서울,2022-01-07 18:00,1.4,0.0,2.1,33,1017.6,0.0,-1.0,2022,01,07,18
서울,2022-01-07 19:00,0.3,0.0,1.8,41,1017.9,0.0,-1.5,2022,01,07,19
서울,2022-01-07 20:00,-0.5,0.0,1.8,46,1018.1,0.0,-2.0,2022,01,07,20
서울,2022-01-07 21:00,-1.3,0.0,2.1,50,1018.0,0.0,-2.6,2022,01,07,21
서울,2022-01-07 22:00,-1.9,0.0,1.8,53,1017.7,0.0,-3.0,2022,01,07,22
서울,2022-01-07 23:00,-2.2,0.0,1.0,55,1017.5,0.0,-3.7,2022,01,07,23
서울,2022-01-08 00:00,-2.8,0.0,0.7,55,1017.2,0.0,-4.3,2022,01,08,00
서울,2022-01-08 01:00,-3.1,0.0,0.8,54,1016.8,0.0,-4.8,2022,01,08,01
서울,2022-01-08 02:00,-3.3,0.0,0.1,53,1016.8,0.0,-5.1,2022,01,08,02
서울,2022-01-08 03:00,-3.6,0.0,0.1,54,1017.0,0.0,-5.4,2022,01,08,03
서울,2022-01-08 04:00,-3.9,0.0,1.9,55,1016.4,0.0,-5.5,2022,01,08,04
서울,2022-01-08 05:00,-4.3,0.0,1.9,56,1015.8,0.0,-5.7,2022,01,08,05
서울,2022-01-08 06:00,-4.7,0.0,2.4,59,1015.7,0.0,-5.8,2022,01,08,06
서울,2022-01-08 07:00,-4.9,0.0,2.0,60,1015.5,0.0,-5.7,2022,01,08,07
서울,2022-01-08 08:00,-4.9,0.0,2.3,61,1015.6,0.0,-5.4,2022,01,08,08
서울,2022-01-08 09:00,-4.0,0.0,2.2,60,1015.4,0.0,-3.8,2022,01,08,09
서울,2022-01-08 10:00,-2.4,0.0,2.1,58,1015.5,0.0,-1.3,2022,01,08,10
서울,2022-01-08 11:00,-0.8,0.0,2.3,53,1014.8,0.0,0.0,2022,01,08,11
서울,2022-01-08 12:00,0.6,0.0,1.2,50,1013.9,0.0,1.6,2022,01,08,12
서울,2022-01-08 13:00,2.3,0.0,1.1,52,1012.9,0.0,2.0,2022,01,08,13
서울,2022-01-08 14:00,3.1,0.0,0.6,53,1012.1,0.0,2.0,2022,01,08,14
서울,2022-01-08 15:00,3.2,0.0,1.8,65,1012.0,0.0,0.9,2022,01,08,15
서울,2022-01-08 16:00,3.5,0.0,2.6,72,1011.8,0.0,0.7,2022,01,08,16
서울,2022-01-08 17:00,3.7,0.0,2.8,71,1011.6,0.0,0.2,2022,01,08,17
서울,2022-01-08 18:00,3.6,0.0,2.3,72,1011.8,0.0,-0.3,2022,01,08,18
서울,2022-01-08 19:00,3.6,0.0,2.3,74,1011.9,0.0,-0.1,2022,01,08,19
서울,2022-01-08 20:00,3.3,0.0,1.5,76,1011.9,0.0,-0.3,2022,01,08,20
서울,2022-01-08 21:00,3.4,0.0,1.3,77,1011.7,0.0,-0.1,2022,01,08,21
서울,2022-01-08 22:00,3.4,0.0,1.0,78,1011.5,0.0,-0.1,2022,01,08,22
서울,2022-01-08 23:00,3.5,0.0,1.9,78,1011.2,0.0,0.0,2022,01,08,23
서울,2022-01-09 00:00,3.7,0.0,1.5,77,1010.8,0.0,0.1,2022,01,09,00
서울,2022-01-09 01:00,3.7,0.0,2.1,80,1010.5,0.0,0.1,2022,01,09,01
서울,2022-01-09 02:00,3.3,0.0,2.2,82,1010.6,0.0,0.0,2022,01,09,02
서울,2022-01-09 03:00,2.5,0.0,1.3,83,1010.9,0.0,-0.6,2022,01,09,03
서울,2022-01-09 04:00,1.4,0.0,2.0,85,1010.9,0.0,-1.0,2022,01,09,04
서울,2022-01-09 05:00,0.5,0.0,2.6,86,1011.0,0.0,-1.4,2022,01,09,05
서울,2022-01-09 06:00,-0.1,0.0,2.7,88,1011.2,0.0,-1.8,2022,01,09,06
서울,2022-01-09 07:00,-0.9,0.0,1.5,88,1011.5,0.0,-2.2,2022,01,09,07
서울,2022-01-09 08:00,-0.6,0.0,2.0,90,1011.9,0.0,-1.3,2022,01,09,08
서울,2022-01-09 09:00,-0.6,0.0,1.0,88,1012.1,0.0,-0.9,2022,01,09,09
서울,2022-01-09 10:00,-0.3,0.0,1.4,89,1012.4,0.0,-0.3,2022,01,09,10
서울,2022-01-09 11:00,1.0,0.0,1.2,85,1012.6,0.0,2.1,2022,01,09,11
서울,2022-01-09 12:00,2.2,0.0,2.0,75,1012.2,0.0,3.5,2022,01,09,12
서울,2022-01-09 13:00,3.3,0.0,1.0,66,1011.4,0.0,5.4,2022,01,09,13
서울,2022-01-09 14:00,4.9,0.0,1.8,58,1011.0,0.0,7.2,2022,01,09,14
서울,2022-01-09 15:00,5.4,0.0,1.7,52,1011.0,0.0,4.9,2022,01,09,15
서울,2022-01-09 16:00,5.3,0.0,1.6,47,1011.0,0.0,1.8,2022,01,09,16
서울,2022-01-09 17:00,3.8,0.0,2.1,50,1011.1,0.0,-0.2,2022,01,09,17
서울,2022-01-09 18:00,2.2,0.0,1.1,53,1011.5,0.0,-0.6,2022,01,09,18
서울,2022-01-09 19:00,1.4,0.0,1.3,57,1012.0,0.0,-1.0,2022,01,09,19
서울,2022-01-09 20:00,0.8,0.0,1.6,61,1012.3,0.0,-1.2,2022,01,09,20
서울,2022-01-09 21:00,0.1,0.0,1.4,62,1012.5,0.0,-1.5,2022,01,09,21
서울,2022-01-09 22:00,-0.3,0.0,1.1,66,1012.4,0.0,-1.9,2022,01,09,22
서울,2022-01-09 23:00,-0.8,0.0,0.9,68,1012.2,0.0,-2.3,2022,01,09,23
서울,2022-01-10 00:00,-1.2,0.0,1.5,71,1012.3,0.0,-2.5,2022,01,10,00
서울,2022-01-10 01:00,-1.6,0.0,1.0,73,1012.1,0.0,-2.7,2022,01,10,01
서울,2022-01-10 02:00,-1.8,0.0,1.5,75,1012.0,0.0,-3.0,2022,01,10,02
서울,2022-01-10 03:00,-1.9,0.0,1.1,76,1012.5,0.0,-3.2,2022,01,10,03
서울,2022-01-10 04:00,-2.1,0.0,0.8,77,1012.5,0.0,-3.6,2022,01,10,04
서울,2022-01-10 05:00,-2.7,0.0,2.3,80,1011.9,0.0,-3.7,2022,01,10,05
서울,2022-01-10 06:00,-3.1,0.0,2.3,81,1012.0,0.0,-4.1,2022,01,10,06
서울,2022-01-10 07:00,-3.3,0.0,2.3,82,1012.3,0.0,-4.3,2022,01,10,07
서울,2022-01-10 08:00,-3.3,0.0,2.0,84,1012.0,0.0,-4.5,2022,01,10,08
서울,2022-01-10 09:00,-3.0,0.0,1.6,83,1012.4,0.0,-3.5,2022,01,10,09
서울,2022-01-10 10:00,-1.0,0.0,1.7,78,1012.5,0.0,-1.1,2022,01,10,10
서울,2022-01-10 11:00,1.5,0.0,1.9,69,1011.7,0.0,1.7,2022,01,10,11
서울,2022-01-10 12:00,3.7,0.0,1.1,60,1010.5,0.0,3.7,2022,01,10,12
서울,2022-01-10 13:00,4.2,0.0,2.4,53,1009.7,0.0,4.6,2022,01,10,13
서울,2022-01-10 14:00,4.4,0.0,2.1,44,1009.1,0.0,4.2,2022,01,10,14
서울,2022-01-10 15:00,4.0,0.0,2.8,40,1008.9,0.0,3.2,2022,01,10,15
서울,2022-01-10 16:00,3.5,0.0,2.1,46,1008.8,0.0,1.4,2022,01,10,16
서울,2022-01-10 17:00,3.0,0.0,2.5,53,1008.3,0.0,0.2,2022,01,10,17
서울,2022-01-10 18:00,2.4,0.0,2.1,56,1008.1,0.0,-0.4,2022,01,10,18
서울,2022-01-10 19:00,2.0,0.0,2.3,55,1008.5,0.0,-0.1,2022,01,10,19
서울,2022-01-10 20:00,1.8,0.0,2.4,52,1007.8,0.0,-0.2,2022,01,10,20
서울,2022-01-10 21:00,1.4,0.0,1.9,58,1007.3,0.0,-0.2,2022,01,10,21
서울,2022-01-10 22:00,1.0,0.0,2.2,66,1007.1,0.0,-0.2,2022,01,10,22
서울,2022-01-10 23:00,0.3,0.0,1.9,82,1006.8,0.2,-0.2,2022,01,10,23
서울,2022-01-11 00:00,0.3,0.9,2.8,92,1006.2,0.9,-0.2,2022,01,11,00
서울,2022-01-11 01:00,-1.2,0.0,4.6,83,1006.4,1.0,-0.3,2022,01,11,01
서울,2022-01-11 02:00,-2.7,0.0,4.4,72,1006.4,1.0,-0.6,2022,01,11,02
서울,2022-01-11 03:00,-4.3,0.2,4.5,71,1006.7,1.0,-1.1,2022,01,11,03
서울,2022-01-11 04:00,-5.9,0.0,5.6,66,1006.5,0.9,-1.5,2022,01,11,04
서울,2022-01-11 05:00,-7.1,0.0,4.6,67,1006.5,0.9,-2.1,2022,01,11,05
서울,2022-01-11 06:00,-7.9,0.0,4.7,66,1007.3,0.9,-2.6,2022,01,11,06
서울,2022-01-11 07:00,-8.7,0.0,3.7,62,1008.2,0.9,-3.1,2022,01,11,07
서울,2022-01-11 08:00,-9.3,0.0,3.9,62,1008.5,0.9,-3.6,2022,01,11,08
서울,2022-01-11 09:00,-9.3,0.0,3.2,61,1009.2,0.8,-3.7,2022,01,11,09
서울,2022-01-11 10:00,-8.5,0.0,3.4,54,1010.0,0.8,-2.3,2022,01,11,10
서울,2022-01-11 11:00,-7.6,0.0,4.2,50,1010.1,0.7,-0.7,2022,01,11,11
서울,2022-01-11 12:00,-7.0,0.0,5.7,48,1009.9,0.5,0.3,2022,01,11,12
서울,2022-01-11 13:00,-5.9,0.0,4.7,47,1009.3,0.3,2.7,2022,01,11,13
서울,2022-01-11 14:00,-5.4,0.0,4.4,44,1009.3,0.3,3.9,2022,01,11,14
서울,2022-01-11 15:00,-4.9,0.0,4.1,40,1009.1,0.2,1.6,2022,01,11,15
서울,2022-01-11 16:00,-4.8,0.0,3.7,39,1009.8,0.2,-0.2,2022,01,11,16
서울,2022-01-11 17:00,-5.5,0.0,2.9,42,1010.4,0.2,-1.4,2022,01,11,17
서울,2022-01-11 18:00,-6.7,0.0,3.7,47,1011.4,0.2,-3.0,2022,01,11,18
서울,2022-01-11 19:00,-7.5,0.0,3.1,49,1012.4,0.2,-4.3,2022,01,11,19
서울,2022-01-11 20:00,-8.3,0.0,3.1,52,1013.1,0.2,-5.2,2022,01,11,20
서울,2022-01-11 21:00,-9.0,0.0,2.9,54,1013.5,0.2,-5.9,2022,01,11,21
서울,2022-01-11 22:00,-9.6,0.0,2.7,56,1013.9,0.2,-6.5,2022,01,11,22
서울,2022-01-11 23:00,-10.0,0.0,3.0,56,1013.8,0.2,-6.8,2022,01,11,23
서울,2022-01-12 00:00,-10.2,0.0,2.6,57,1013.7,0.2,-7.1,2022,01,12,00
서울,2022-01-12 01:00,-10.7,0.0,1.5,57,1013.5,0.2,-7.4,2022,01,12,01
서울,2022-01-12 02:00,-11.0,0.0,0.6,61,1013.4,0.2,-7.7,2022,01,12,02
서울,2022-01-12 03:00,-11.3,0.0,1.1,63,1013.6,0.2,-7.8,2022,01,12,03
서울,2022-01-12 04:00,-11.3,0.0,1.7,63,1013.3,0.2,-7.9,2022,01,12,04
